n_users,max_time,sequence_lenght,n_sequences,sliding_split,remove_outliers,normalize,train_acc,train_TP,train_TN,train_FP,train_FN,train_FAR,train_FRR,train_F1,test_acc,test_TP,test_TN,test_FP,test_FN,test_FAR,test_FRR,test_F1
10,1.125,36,10,False,False,False,0.8590542629800215,1423.0,1304.8,181.8,63.6,0.2026589563084209,0.07923251773153611,0.8703372040124497,0.7188869814688494,484.5,482.4,127.8,125.7,0.26364535093725705,0.29858068612504407,0.7071706368967969
10,1.125,38,10,False,False,False,0.8587191214914492,1334.5,1230.8,159.8,56.1,0.20084692261217288,0.08171483440492863,0.8693391734310362,0.7149638024744436,450.1,447.4,116.4,113.7,0.2543306782574445,0.3157417167936684,0.6946229672646966
10,1.25,4,10,False,False,False,0.8294042608567549,6861.6,6099.3,1804.4,1042.1,0.21791088520406973,0.12328059308242027,0.8388761860568849,0.6415059438053526,3215.4,3518.0,1784.0,2086.6,0.31183162887467153,0.4051564835146232,0.6206889823134817
10,1.25,6,10,False,False,False,0.8337276178048703,6416.7,5709.2,1631.4,923.9,0.21369602060625487,0.1188487437840046,0.8430466247966268,0.6444075804893645,2976.4,3221.5,1637.0,1882.1,0.3134555656775619,0.3977292733437092,0.6262345564593362
10,1.25,8,10,False,False,False,0.8350039563290299,5906.1,5267.3,1473.0,834.2,0.21298898467999666,0.11700310266194333,0.8443700511130746,0.652038842963172,2697.7,2958.5,1424.1,1684.9,0.30353788807244025,0.3923844260012157,0.6345349849735789
10,1.25,10,10,False,False,False,0.8360134686574383,5332.8,4741.0,1304.0,712.2,0.2134124716775156,0.1145605910076078,0.8457301641405955,0.6591295546573901,2380.3,2587.6,1218.9,1426.2,0.30097337162331855,0.3807675190619013,0.6447784646833172
10,1.25,12,10,False,False,False,0.8415448729414272,4678.9,4207.6,1071.5,600.2,0.20431089429643218,0.11259935982071312,0.8503713695922059,0.6729392766596473,2039.2,2209.0,972.1,1141.9,0.29234817301886207,0.3617732736618433,0.6620607303672863
10,1.25,14,10,False,False,False,0.8421677657041057,4079.0,3647.0,914.6,482.6,0.2076735689241595,0.10799089966762901,0.85173584589344,0.6848988006863943,1715.9,1867.2,765.5,916.8,0.2800727438347108,0.3501296547925006,0.6754441897194385
10,1.25,16,10,False,False,False,0.8436584230470882,3553.1,3172.8,766.8,386.5,0.2072774085854577,0.10540574532036581,0.8535370336239548,0.6948868541801653,1442.0,1564.3,607.2,729.5,0.2723558701891503,0.3378704214505195,0.6872090911559775
10,1.25,18,10,False,False,False,0.8483677605826007,3094.0,2799.4,616.0,321.4,0.19784337499074295,0.10542110384405576,0.857223013228338,0.6976830770180582,1210.7,1329.6,483.0,601.9,0.2672633454532135,0.3373705005106702,0.6890928779114217
